labels,MP,FP32,DYN100,DYN300,DYN500,DYN1000,DYN2000
ov0,100,100,73.33060929,70.71905429,70.02057569,69.49309929,69.05272929
ov10,93.586,93.58644493,69.58399329,67.23359379,66.60496305,66.13023429,65.73390129
ov20,87.172,87.17288986,65.83737729,63.74813329,63.18935041,62.76736929,62.41507329
ov30,80.758,80.75933479,62.09076129,60.26267279,59.77373777,59.40450429,59.09624529
ov40,74.344,74.34577972,58.34414529,56.77721229,56.35812513,56.04163929,55.77741729
ov50,67.93,67.93222465,54.59752929,53.29175179,52.94251249,52.67877429,52.45858929
ov60,61.516,61.51866957,50.85091329,49.80629129,49.52689985,49.31590929,49.13976129
ov70,55.102,55.1051145,47.10429729,46.32083079,46.11128721,45.95304429,45.82093329
ov80,48.688,48.69155943,43.35768129,42.83537029,42.69567457,42.59017929,42.50210529
ov90,42.274,42.27800436,39.61106529,39.34990979,39.28006193,39.22731429,39.18327729
ov100,35.86,35.86444929,35.86444929,35.86444929,35.86444929,35.86444929,35.86444929
