Epochs,MP\_FMA,MP\_FMA-FP32\_WU,MP\_FMA-FP32\_WU\_BN,BF16\_FMA,BF16\_FMA-FP32\_WU,BF16\_FMA-FP32\_WU\_BN,FP32,FP32\_FULL
0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.25,0.00810,0.01620,0.00760,0.00540,0.00500,0.01140,0.01950,0.00346
0.5,0.01480,0.01510,0.01060,0.00540,0.00500,0.01820,0.02000,0.02098
0.75,0.03550,0.02300,0.01110,0.00540,0.00500,0.01550,0.03400,0.11582
1,0.02330,0.02240,0.02060,0.00550,0.00500,0.02270,0.04370,0.16304
1.25,0.04620,0.07950,0.03130,0.00520,0.00400,0.03550,0.05420,0.13196
1.5,0.04790,0.05370,0.04700,0.00570,0.00490,0.03610,0.08530,0.19906
1.75,0.08550,0.05170,0.07140,0.00400,0.00470,0.06520,0.05550,0.19922
2,0.07240,0.07310,0.08970,0.00490,0.00610,0.07000,0.11160,0.24494
2.25,0.11630,0.09380,0.09150,0.00670,0.00610,0.08520,0.08850,0.20004
2.5,0.19520,0.15320,0.08630,0.00580,0.00510,0.08860,0.20580,0.18498
2.75,0.20210,0.13850,0.15760,0.00710,0.00500,0.14740,0.19720,0.23496
3,0.20850,0.20850,0.20050,0.01140,0.00480,0.14730,0.25120,0.17812
3.25,0.28770,0.23800,0.25630,0.00920,0.00510,0.11800,0.28880,0.22434
3.5,0.28930,0.29450,0.25600,0.00820,0.00510,0.23750,0.31970,0.28340
3.75,0.34550,0.30670,0.27330,0.01550,0.00240,0.23670,0.30950,0.21124
4,0.33360,0.28170,0.24880,0.02280,0.00580,0.19710,0.28660,0.25126
4.25,0.37720,0.28440,0.33220,0.01490,0.00460,0.15130,0.38050,0.26464
4.5,0.35720,0.35380,0.31730,0.01710,0.00530,0.26710,0.36090,0.27020
4.75,0.35500,0.31790,0.32460,0.00900,0.00530,0.22840,0.38260,0.25514
5,0.41070,0.35180,0.32020,0.01010,0.00780,0.28120,0.34480,0.23468
5.25,0.40410,0.32310,0.30260,0.00730,0.00550,0.31440,0.30300,0.23710
5.5,0.33740,0.38920,0.37590,0.00950,0.00550,0.31390,0.36100,0.22604
5.75,0.39780,0.39040,0.40080,0.01150,0.00530,0.28420,0.35950,0.29472
6,0.35100,0.33310,0.39400,0.00970,0.00530,0.36720,0.30950,0.23866
6.25,0.38780,0.36690,0.34440,0.01390,0.00500,0.33280,0.36510,0.26570
6.5,0.37010,0.37500,0.33870,0.01190,0.00500,0.24290,0.36040,0.30354
6.75,0.38710,0.38130,0.37200,0.01270,0.00500,0.23110,0.44800,0.29686
7,0.40630,0.39010,0.40840,0.00930,0.00500,0.27280,0.30240,0.26642
7.25,0.42080,0.41230,0.42360,0.00340,0.00500,0.25280,0.36860,0.24914
7.5,0.44680,0.42260,0.41560,0.00540,0.00500,0.28190,0.38430,0.31828
7.75,0.29720,0.39210,0.40700,0.00500,0.00500,0.27120,0.38490,0.25032
8,0.36740,0.45060,0.36990,0.00720,0.00500,0.29450,0.43850,0.27836
8.25,0.40690,0.39360,0.36200,0.00480,0.00500,0.25520,0.45530,0.29110
8.5,0.40690,0.33970,0.42640,0.00460,0.00500,0.25320,0.42550,0.25218
8.75,0.39970,0.42860,0.45840,0.00560,0.00500,0.28750,0.42840,0.29084
9,0.37270,0.37850,0.36480,0.00690,0.00500,0.22480,0.38360,0.27236
9.25,0.44070,0.42730,0.39720,0.00630,0.00500,0.25180,0.37980,0.31188
9.5,0.41410,0.40770,0.24820,0.00570,0.00500,0.22740,0.38650,0.28350
9.75,0.39340,0.39220,0.41610,0.00440,0.00500,0.19190,0.40740,0.29514
10,0.36630,0.45520,0.41720,0.00460,0.00500,0.16900,0.36830,0.26958
10.25,3.49E-01,0.44480,0.37910,0.00550,0.00500,0.13830,0.43810,0.30666
10.5,4.65E-01,0.37430,0.39280,0.00480,0.00500,0.10870,0.45400,0.29678
10.75,4.66E-01,0.41090,0.41670,0.00600,0.00500,0.10940,0.42110,0.30978
11,4.86E-01,0.48140,0.39540,0.00490,0.00500,0.15420,0.43680,0.29844
11.25,4.07E-01,0.44970,0.44610,0.00720,0.00500,0.09370,0.41880,0.29450
11.5,3.67E-01,0.38160,0.38630,0.00280,0.00500,0.03200,0.44170,
11.75,4.51E-01,0.39140,0.38200,0.00930,0.00500,0.03610,0.40790,
12,4.09E-01,0.41930,0.43590,0.00630,0.00500,0.03390,0.33560,
